(661,456)	(939,260)	(853,575)	(1031,977)	(805,781)	
(484,600)	(1086,387)	(478,797)	(816,739)	(686,162)	
(1065,359)	(128,745)	(848,1042)	(804,695)	(175,668)	
(122,155)	(888,692)	(778,968)	(374,649)	(922,943)	
(351,122)	(289,417)	(641,591)	(292,1067)	(155,351)	
(422,499)	(366,795)	(286,625)	(660,779)	(523,994)	
(687,495)	(883,745)	(1093,233)	(605,318)	(306,178)	
(1011,404)	(598,721)	(613,718)	(553,227)	(298,282)	
(549,439)	(415,609)	(163,298)	(749,469)	(944,715)	
(654,659)	(921,991)	(536,971)	(220,439)	(605,254)	
(473,648)	(794,456)	(146,668)	(919,142)	(935,455)	
(367,178)	(212,1013)	(297,716)	(975,962)	(725,1075)	
(725,738)	(1027,692)	(1068,306)	(1048,658)	(294,734)	
(163,279)	(396,229)	(191,370)	(905,882)	(105,282)	
(521,420)	(261,898)	(906,680)	(203,533)	(554,333)	
(312,883)	(105,1032)	(211,349)	(480,345)	(205,734)	
(114,142)	(932,618)	(754,1071)	(706,523)	(869,114)	
(105,594)	(281,480)	(394,227)	(239,111)	(311,868)	
(1045,865)	(421,279)	(198,917)	(974,677)	(438,157)	
(749,606)	(1025,752)	(307,823)	(387,1008)	(962,235)	
(574,950)	(360,253)	(575,445)	(231,820)	(361,580)	
(227,712)	(983,304)	(387,748)	(428,778)	(891,285)	
(917,540)	(705,482)	(217,482)	(647,165)	(600,623)	
(704,465)	(1098,573)	(742,227)	(457,337)	(428,1046)	
(434,190)	(600,154)	(672,1073)	(899,189)	(297,1061)	
(203,500)	(1053,512)	(521,1052)	(892,389)	(815,476)	
(624,948)	(796,277)	(835,999)	(931,973)	(681,398)	
(456,608)	(233,109)	(277,1001)	(272,276)	(461,903)	
(1087,352)	(191,443)	(911,768)	(228,105)	(1098,1058)	
(716,613)	(851,695)	(222,448)	(488,308)	(807,275)	
(391,546)	(909,155)	(311,409)	(612,390)	(640,1001)	
(537,837)	(158,761)	(637,490)	(1018,987)	(748,844)	
(889,207)	(686,688)	(601,328)	(1086,858)	(538,948)	
(521,405)	(193,455)	(265,439)	(763,154)	(227,944)	
(1095,1088)	(638,573)	(180,538)	(525,344)	(294,1067)	
(351,874)	(171,1086)	(797,836)	(891,991)	(843,562)	
(311,199)	(426,425)	(857,244)	(357,155)	(765,1080)	
(715,312)	(350,521)	(397,871)	(1067,225)	(881,430)	
(588,351)	(430,678)	(392,310)	(928,218)	(664,580)	
(1070,489)	(682,405)	(914,658)	(846,481)	(137,872)	
(269,451)	(404,166)	(580,268)	(334,596)	(115,736)	
(160,963)	(978,399)	(265,678)	(774,862)	(161,553)	
(793,135)	(463,742)	(760,742)	(345,446)	(1017,718)	
(445,565)	(1076,132)	(126,969)	(585,1049)	(857,324)	
(394,814)	(625,184)	(171,451)	(487,402)	(391,256)	
(542,282)	(309,984)	(374,1066)	(579,523)	(1047,925)	
(457,187)	(705,1083)	(225,585)	(449,442)	(629,728)	
(190,966)	(754,266)	(741,356)	(796,1035)	(314,555)	
(322,371)	(392,637)	(476,599)	(435,1077)	(874,586)	
(387,488)	(646,872)	(228,217)	(372,875)	(444,1096)	
(441,922)	(213,379)	(890,502)	(244,1000)	(719,1055)	
(152,481)	(496,919)	(303,641)	(414,205)	(237,334)	
(229,372)	(471,551)	(760,669)	(447,864)	(950,827)	
(920,164)	(372,693)	(157,290)	(275,761)	(301,195)	
(195,935)	(458,395)	(384,676)	(298,574)	(476,472)	
(422,501)	(541,690)	(833,1089)	(904,226)	(378,864)	
(702,703)	(654,973)	(470,323)	(607,1068)	(460,883)	
(890,510)	(408,779)	(576,226)	(466,554)	(675,973)	
(941,290)	(284,420)	(249,410)	(354,1031)	(341,639)	
(693,160)	(684,529)	(691,340)	(480,306)	(803,1025)	
(1005,772)	(721,305)	(471,907)	(738,237)	(606,761)	
(464,702)	(481,761)	(472,336)	(569,238)	(1041,401)	
(568,453)	(416,872)	(961,695)	(586,337)	(305,588)	
(337,808)	(1086,165)	(707,195)	(959,856)	(527,101)	
(909,337)	(970,345)	(1001,671)	(521,604)	(334,941)	
(248,942)	(935,426)	(458,761)	(980,427)	(322,595)	
(545,1095)	(385,1009)	(888,932)	(264,357)	(1073,376)	
(881,202)	(326,922)	(929,276)	(796,554)	(553,749)	
(383,190)	(989,958)	(796,303)	(548,995)	(429,1012)	
(458,770)	(961,669)	(778,629)	(674,474)	(848,686)	
(243,901)	(622,723)	(586,757)	(885,898)	(1090,628)	
(806,246)	(868,419)	(1089,1010)	(127,741)	(1070,613)	
(1077,874)	(987,472)	(1008,669)	(702,1004)	(485,791)	
(346,175)	(1063,149)	(695,328)	(727,144)	(813,401)	
最后两点的距离：271
最短距离：1
点在数组中的位置：i=755,j=17
点的坐标：(203,500),(203,501)
